Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link,"Status: 16%, 1/6"
1.132.41688,01/01/2014,No,Unknown,Unknown,,,
1.133.41966,01/12/2014,No,Unknown,Unknown,,,
1.134.42247,01/23/2014,No,Unknown,Unknown,,,
1.137.43501,02/21/2014,No,Unknown,Unknown,,,
1.138.43666,03/03/2014,Yes,Unknown,iOS 6.0,,https://www.mediafire.com/file/k7cjo2e6nuj0s1j/com.roblox.Hang-Out-in-a-Disco-and-Chat-iOS6.0-%2528Clutch-2.0.4%2529.ipa/file,
